s_State,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Ghazni,AF11,33.298822,67.811789,64276
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Paktika,AF12,32.481676,68.751118,11196
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Paktya,AF13,33.629195,69.401912,4267
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Khost,AF14,33.366603,69.830734,2867
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Kunar,AF15,34.94148,71.098978,1408
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Nuristan,AF16,35.403435,70.806989,339
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Badakhshan,AF17,37.038272,71.457808,2525
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Takhar,AF18,36.702307,69.776281,15355
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Kunduz,AF19,36.846189,68.741738,132687
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Samangan,AF20,35.989962,67.746321,4086
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Balkh,AF21,36.671789,67.067123,51210
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Sar-e-Pul,AF22,35.732534,66.13302,14625
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Ghor,AF23,34.223853,64.928959,3486
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Daykundi,AF24,33.764021,66.184738,7131
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Uruzgan,AF25,32.942363,66.132258,23053
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Zabul,AF26,32.193437,67.159692,42740
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Kandahar,AF27,31.052452,65.712547,237274
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Jawzjan,AF28,36.828418,65.841324,20252
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Faryab,AF29,36.054515,64.859923,16030
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Helmand,AF30,31.185119,64.052756,97761
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Badghis,AF31,35.139966,63.677186,7704
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Herat,AF32,34.059812,61.988025,50429
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Farah,AF33,32.497557,62.462352,17378
Spin Boldak –  Chaman,x_9,30.955879,66.437425,Nimroz,AF34,30.789339,62.316668,5699
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Kabul,AF01,34.554066,69.332594,284695
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Kapisa,AF02,34.962936,69.622633,12029
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Parwan,AF03,34.958537,68.886329,9081
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Wardak,AF04,34.292078,68.20295,4455
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Logar,AF05,34.013175,69.171596,46958
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Nangarhar,AF06,34.272868,70.472553,390840
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Laghman,AF07,34.762935,70.170187,71149
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Panjsher,AF08,35.44593,69.794822,3255
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Baghlan,AF09,35.773178,68.938185,54093
Torkham – Bab-i-Pakistan,x_10,34.122641,71.093202,Bamyan,AF10,34.798638,67.233704,3823
